id,title,country,year,averageScore,popularity,score,berserk_cos,centroid_cos,top_tags,label_group
143059,Leveling Beyond the Max,KR,2021,66.0,10833,0.44328457175136177,0.3414550106483118,0.5793737016537774,"Male Protagonist, Full Color, Dungeon, Magic, Martial Arts",
100114,Isekai Kenkokuki,JP,2017,66.0,9437,0.4432764009197735,0.23172094453657105,0.46929544839057824,"Isekai, Male Protagonist, Politics, Female Harem, Primarily Child Cast",
85567,Fujiyama-san wa Shishunki,JP,2012,74.0,10736,0.4432637840096142,0.19085008339881818,0.2058485838980866,"School, Seinen, Iyashikei, Coming of Age, Heterosexual",
111403,Hokkaido Gals Are Super Adorable!,JP,2019,71.0,24310,0.4431638984679483,0.11781565981070255,0.24640609696102653,"Gyaru, Coming of Age, Large Breasts, Snowscape, School",
135981,The Hunters Guild: Red Hood,JP,2021,62.0,11962,0.4428529736188005,0.25515007214178026,0.46861426980211474,"Werewolf, Shounen, Male Protagonist, Meta, Fairy Tale",
130837,Days with My Stepsister,JP,2021,71.0,8622,0.4426439808396218,0.14705631172651773,0.22713196394911123,"Family Life, Heterosexual, Inseki, Male Protagonist, Primarily Teen Cast",
118084,I Don't Know What My Sister's Friend Is Thinking,JP,2020,68.0,6125,0.4426354881786327,0.037318619150394625,0.17569584348461684,"Female Protagonist, Shounen, Male Protagonist, Heterosexual, Age Gap",
122344,The Magical Revolution of the Reincarnated Princess and the Genius Young Lady,JP,2020,79.0,11040,0.4425830849745536,0.3313340901163593,0.3582328252546733,"Magic, Female Protagonist, Yuri, Royal Affairs, Vampire",
139855,Tatsuki Fujimoto Before Chainsaw Man: 17-21,JP,2021,71.0,11363,0.4424522298031458,0.14638898451357127,0.27022348629971715,"Anthology, Gore, Surreal Comedy, School, Assassins",
43723,Knights of Sidonia,JP,2009,74.0,12514,0.4422911146880117,0.36402689731996435,0.43950472490373155,"Aliens, Space, Military, War, Male Protagonist",
155228,My Girlfriend is 8 Meters Tall,JP,2022,66.0,6633,0.44223761602495953,0.14855593689815833,0.2800339352275272,"School, Male Protagonist, Female Protagonist, Heterosexual, Cute Girls Doing Cute Things",
98587,BEASTARS,JP,2016,81.0,48009,0.44221948156708873,0.28993448381238973,0.3785684206688587,"Anthropomorphism, Animals, Coming of Age, Male Protagonist, School",
